00000|00000
12477|19787
11523|11804
12477|13252
12477|10086
12477|18303
12477|15389
12477|17836
12477|16758
19787|16484
19787|10274
12477|10038
12477|16885
11523|12130
12477|16497
11523|10637
12477|15244
12477|13282
12463|13282
12463|19204
12463|15715
12463|15244
12463|10038
12463|16885
12463|11804
12463|12130
12463|10637
13282|14442
13282|19788
13282|10838
10038|13560
16484|17632
13252|10677
16497|12181
16497|19411
16758|15380
12477|11974
16758|16351
12477|17817
12463|10677
11523|13282
11523|16885
11523|19204
11523|15715
11523|10677
13252|11752
16351|17641
16484|17622
16484|19267
16484|19765
16484|11752
11804|16606
11804|15217
19787|14231
17817|14442
17817|19788
17817|10838
16885|11752
16885|19301
11804|14231
11804|12665
16484|13560
10038|13584
18303|10302
18303|10501
14442|10651
11804|19831
12665|12459
11804|17632
12665|10838
12665|19788
11804|12459
11804|10440
12665|14442
13560|10440
12665|19267
16606|17632
12665|19831
16606|10440
16606|19831
16606|12459
13560|11367
11804|11367
16606|11367
15217|16845
12459|16845
18303|14446
12463|12665
16606|17817
13282|10941
16484|11414
16484|17133
16606|16497
18303|13126
16606|19270
16606|17873
16606|18649
12477|19270
12477|18649
12477|17873
10274|17817
10274|11974
12181|15689
15380|15689
11367|15689
12459|19301
12130|12181
13560|14740
13560|16845
12181|17787
12181|11602
19788|16445
15380|11602
10637|10941
15380|16445
15380|17787
13252|13405
10941|13405
10941|17622
16606|11807
16606|17133
11804|11807
16484|19270
16484|13405
17787|11194
17787|17622
16606|14442
11804|14442
16606|16864
16484|14442
13560|11194
19831|14740
10274|19905
19831|10941
10637|11414
11804|16864
11804|12478
11804|17641
12665|17641
16606|12478
10941|15635
11752|19301
12181|15366
19204|11807
11602|19648
19204|16864
15380|15366
17622|12181
11804|15307
11804|14230
13126|17641
19270|11636
16606|15307
16606|18303
16606|14608
16606|14230
16606|19267
16606|10086
16497|14441
12477|19765
12477|14608
14442|17632
14442|15318
10941|19504
11804|11374
13560|19735
11804|16124
11636|16510
13560|16124
13252|19504
16484|12478
16484|19648
11804|13022
16484|19787
16484|19735
16484|19804
16484|11374
16484|13022
11194|19735
11194|19648
16864|19804
11194|19765
11194|11414
14446|13126
19831|16510
19648|15635
19648|19504
19787|16510
15689|11194
11752|19804
11752|16124
19204|12947
19267|14740
12477|12947
15217|17139
12947|11285
12947|11636
11367|12947
11367|16445
12665|13022
11367|17787
11367|19905
16484|18910
16484|12180
16484|13162
17139|13126
17139|15318
12665|11804
11414|19925
11804|10116
11804|18910
16484|10116
11804|12180
16484|11804
12665|18910
12665|12180
12665|10116
16484|19437
19765|19925
14442|15370
14442|14789
11804|16758
11804|15389
11804|15244
11804|16497
11804|13252
12477|14230
12477|16606
12477|14231
12477|12665
12477|11804
10941|16861
16484|14231
12181|14789
11804|19437
16484|14230
11804|13162
12477|13162
12477|19437
16484|16758
16484|17817
19925|16861
16484|13252
11804|17817
10651|17133
10440|12572
10941|12572
16864|16861
14789|12572
19267|18609
11414|14745
13282|14745
13162|14745
19925|18609
11414|10766
16510|10766
16510|18609
19267|10766
19267|14745
13560|17510
11804|19523
14446|15370
14446|14789
19831|19523
16484|17510
16484|19523
16606|15516
11804|15516
16606|15217
17133|19925
19411|12719
16484|13427
13162|13427
17787|17510
18609|15516
18609|13424
15380|12719
11804|19375
18609|15029
11804|13401
16484|15029
16484|13401
12181|18317
11367|11881
16606|19375
16606|13401
16606|15029
11881|15389
15318|11331
